# E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
1.000	0.000
1.018	0.000
1.037	0.000
1.056	0.000
1.075	0.000
1.095	0.000
1.115	0.000
1.136	0.000
1.156	0.000
1.178	0.000
1.199	0.000
1.221	0.000
1.243	0.000
1.266	0.000
1.289	0.000
1.313	0.000
1.337	0.000
1.362	0.000
1.387	0.000
1.412	0.000
1.438	0.000
1.464	0.000
1.491	0.000
1.518	0.000
1.546	0.000
1.575	0.000
1.603	0.000
1.633	0.000
1.663	0.000
1.693	0.000
1.724	0.000
1.756	0.000
1.788	0.000
1.821	0.000
1.854	0.000
1.888	0.000
1.923	0.000
1.958	0.000
1.994	0.000
2.030	0.000
2.068	0.000
2.105	0.000
2.144	0.000
2.183	0.000
2.223	0.000
2.264	0.000
2.305	0.000
2.348	0.000
2.391	0.000
2.435	0.000
2.479	0.000
2.525	0.000
2.571	0.000
2.618	0.000
2.666	0.000
2.715	0.000
2.765	0.000
2.815	0.000
2.867	0.000
2.919	0.000
2.973	0.000
3.027	0.000
3.083	0.000
3.139	0.000
3.197	0.000
3.255	0.000
3.315	0.000
3.376	0.000
3.438	0.000
3.501	0.000
3.565	0.000
3.630	0.000
3.697	0.000
3.764	0.000
3.833	0.000
3.904	0.000
3.975	0.000
4.048	0.000
4.122	0.000
4.198	0.000
4.275	0.000
4.353	0.000
4.433	0.000
4.514	0.000
4.597	0.000
4.681	0.000
4.767	0.000
4.854	0.000
4.943	0.000
5.033	0.000
5.126	0.000
5.220	0.000
5.315	0.000
5.413	0.000
5.512	0.000
5.613	0.000
5.716	0.000
5.820	0.000
5.927	0.000
6.036	0.000
6.146	0.000
6.259	0.000
6.374	0.000
6.490	0.000
6.609	0.000
6.730	0.000
6.854	0.000
6.979	0.000
7.107	0.000
7.238	0.000
7.370	0.000
7.505	0.000
7.643	0.000
7.783	0.000
7.925	0.000
8.071	0.000
8.219	0.000
8.369	0.000
8.522	0.000
8.679	0.000
8.838	0.000
9.000	0.000
9.165	0.000
9.332	0.000
9.503	0.000
9.678	0.000
9.855	0.000
10.04	0.000
10.22	0.000
10.41	0.000
10.60	0.000
10.79	0.000
10.99	0.000
11.19	0.000
11.40	0.000
11.60	0.000
11.82	0.000
12.03	0.000
12.25	0.000
12.48	0.000
12.71	0.000
12.94	0.000
13.18	0.000
13.42	0.000
13.66	0.000
13.92	0.000
14.17	0.000
14.43	0.000
14.69	0.000
14.96	0.000
15.24	0.000
15.52	0.000
15.80	0.000
16.09	0.000
16.39	0.000
16.69	0.000
16.99	0.000
17.30	0.000
17.62	0.000
17.94	0.000
18.27	0.000
18.61	0.000
18.95	0.000
19.29	0.5024E-33
19.65	0.8105E-33
20.01	0.1296E-32
20.38	0.2055E-32
20.75	0.3232E-32
21.13	0.5040E-32
21.52	0.7794E-32
21.91	0.1195E-31
22.31	0.1819E-31
22.72	0.2748E-31
23.14	0.4119E-31
23.56	0.1664E-30
23.99	0.2501E-30
24.43	0.3733E-30
24.88	0.5533E-30
25.34	0.8146E-30
25.80	0.1191E-29
26.27	0.1731E-29
26.75	0.2498E-29
27.24	0.3582E-29
27.74	0.5106E-29
28.25	0.7233E-29
28.77	0.1018E-28
29.30	0.1425E-28
29.83	0.2053E-28
30.38	0.2841E-28
30.94	0.3908E-28
31.50	0.5349E-28
32.08	0.7281E-28
32.67	0.9860E-28
33.27	0.1328E-27
33.88	0.1781E-27
34.50	0.2376E-27
35.13	0.3154E-27
35.77	0.4168E-27
36.43	0.5483E-27
37.10	0.7178E-27
37.78	0.9515E-27
38.47	0.1234E-26
39.17	0.1595E-26
39.89	0.2051E-26
40.62	0.2629E-26
41.37	0.3355E-26
42.13	0.4265E-26
42.90	0.5401E-26
43.68	0.6815E-26
44.48	0.8566E-26
45.30	0.1073E-25
46.13	0.1339E-25
46.97	0.1664E-25
47.84	0.2062E-25
48.71	0.2548E-25
49.60	0.3137E-25
50.51	0.3850E-25
51.44	0.4711E-25
52.38	0.5747E-25
53.34	0.6989E-25
54.32	0.8476E-25
55.31	0.1025E-24
56.33	0.1236E-24
57.36	0.1486E-24
58.41	0.1811E-24
59.48	0.2164E-24
60.57	0.2580E-24
61.68	0.3069E-24
62.81	0.3640E-24
63.96	0.4307E-24
65.13	0.5083E-24
66.33	0.5985E-24
67.54	0.7031E-24
68.78	0.8240E-24
70.04	0.9635E-24
71.33	0.1124E-23
72.63	0.1300E-23
73.96	0.1511E-23
75.32	0.1751E-23
76.70	0.2026E-23
78.10	0.2338E-23
79.54	0.2694E-23
80.99	0.3096E-23
82.48	0.3552E-23
83.99	0.4067E-23
85.53	0.4647E-23
87.09	0.5300E-23
88.69	0.6053E-23
90.32	0.6876E-23
91.97	0.7795E-23
93.66	0.8822E-23
95.37	0.9965E-23
97.12	0.1124E-22
98.90	0.1265E-22
100.7	0.1421E-22
102.6	0.1594E-22
104.4	0.1785E-22
106.4	0.1996E-22
108.3	0.2227E-22
110.3	0.2490E-22
112.3	0.2770E-22
114.4	0.3077E-22
116.5	0.3412E-22
118.6	0.3778E-22
120.8	0.4177E-22
123.0	0.4612E-22
125.2	0.5085E-22
127.5	0.5598E-22
129.9	0.6154E-22
132.2	0.6757E-22
134.7	0.7408E-22
137.1	0.8113E-22
139.6	0.8872E-22
142.2	0.9692E-22
144.8	0.1057E-21
147.5	0.1152E-21
150.2	0.1254E-21
152.9	0.1363E-21
155.7	0.1480E-21
158.6	0.1605E-21
161.5	0.1739E-21
164.4	0.1882E-21
167.5	0.2035E-21
170.5	0.2198E-21
173.6	0.2371E-21
176.8	0.2556E-21
180.1	0.2752E-21
183.4	0.2961E-21
186.7	0.3182E-21
190.1	0.3417E-21
193.6	0.3666E-21
197.2	0.3933E-21
200.8	0.4212E-21
204.5	0.4506E-21
208.2	0.4817E-21
212.0	0.5145E-21
215.9	0.5491E-21
219.9	0.5855E-21
223.9	0.6239E-21
228.0	0.6642E-21
232.2	0.7067E-21
236.4	0.7508E-21
240.8	0.7976E-21
245.2	0.8467E-21
249.7	0.8982E-21
254.3	0.9521E-21
258.9	0.1008E-20
263.7	0.1068E-20
268.5	0.1129E-20
273.4	0.1194E-20
278.4	0.1262E-20
283.5	0.1332E-20
288.7	0.1405E-20
294.0	0.1481E-20
299.4	0.1561E-20
304.9	0.1644E-20
310.5	0.1730E-20
316.2	0.1819E-20
322.0	0.1912E-20
327.9	0.2009E-20
333.9	0.2109E-20
340.0	0.2213E-20
346.2	0.2321E-20
352.6	0.2432E-20
359.0	0.2548E-20
365.6	0.2667E-20
372.3	0.2791E-20
379.1	0.2919E-20
386.1	0.3051E-20
393.1	0.3187E-20
400.3	0.3328E-20
407.7	0.3473E-20
415.1	0.3623E-20
422.8	0.3777E-20
430.5	0.3936E-20
438.4	0.4099E-20
446.4	0.4268E-20
454.6	0.4440E-20
462.9	0.4618E-20
471.4	0.4801E-20
480.1	0.4988E-20
488.8	0.5181E-20
497.8	0.5378E-20
506.9	0.5580E-20
516.2	0.5789E-20
525.7	0.6001E-20
535.3	0.6219E-20
545.1	0.6442E-20
555.1	0.6670E-20
565.3	0.6903E-20
575.6	0.7141E-20
586.2	0.7385E-20
596.9	0.7633E-20
607.9	0.7887E-20
619.0	0.8146E-20
630.3	0.8410E-20
641.9	0.8680E-20
653.7	0.8954E-20
665.6	0.9234E-20
677.8	0.9519E-20
690.3	0.9809E-20
702.9	0.1010E-19
715.8	0.1040E-19
728.9	0.1071E-19
742.3	0.1102E-19
755.9	0.1134E-19
769.7	0.1166E-19
783.8	0.1198E-19
798.2	0.1231E-19
812.8	0.1265E-19
827.7	0.1299E-19
842.9	0.1333E-19
858.3	0.1368E-19
874.0	0.1403E-19
890.1	0.1439E-19
906.4	0.1475E-19
923.0	0.1512E-19
939.9	0.1549E-19
957.1	0.1587E-19
974.7	0.1625E-19
992.5	0.1663E-19
1011.	0.1702E-19
1029.	0.1741E-19
1048.	0.1780E-19
1067.	0.1820E-19
1087.	0.1860E-19
1107.	0.1901E-19
1127.	0.1942E-19
1148.	0.1983E-19
1169.	0.2024E-19
1190.	0.2066E-19
1212.	0.2108E-19
1234.	0.2150E-19
1257.	0.2193E-19
1280.	0.2236E-19
1303.	0.2279E-19
1327.	0.2322E-19
1351.	0.2366E-19
1376.	0.2409E-19
1401.	0.2453E-19
1427.	0.2497E-19
1453.	0.2541E-19
1480.	0.2585E-19
1507.	0.2630E-19
1535.	0.2674E-19
1563.	0.2718E-19
1591.	0.2763E-19
1621.	0.2807E-19
1650.	0.2852E-19
1680.	0.2897E-19
1711.	0.2941E-19
1743.	0.2986E-19
1775.	0.3030E-19
1807.	0.3075E-19
1840.	0.3119E-19
1874.	0.3163E-19
1908.	0.3207E-19
1943.	0.3251E-19
1979.	0.3295E-19
2015.	0.3339E-19
2052.	0.3382E-19
2090.	0.3426E-19
2128.	0.3469E-19
2167.	0.3511E-19
2207.	0.3554E-19
2247.	0.3596E-19
2288.	0.3638E-19
2330.	0.3679E-19
2373.	0.3720E-19
2416.	0.3761E-19
2461.	0.3802E-19
2506.	0.3842E-19
2552.	0.3881E-19
2598.	0.3920E-19
2646.	0.3958E-19
2694.	0.3997E-19
2744.	0.4034E-19
2794.	0.4071E-19
2845.	0.4107E-19
2897.	0.4143E-19
2951.	0.4179E-19
3005.	0.4213E-19
3060.	0.4247E-19
3116.	0.4281E-19
3173.	0.4314E-19
3231.	0.4346E-19
3290.	0.4377E-19
3350.	0.4407E-19
3412.	0.4437E-19
3474.	0.4465E-19
3538.	0.4493E-19
3603.	0.4521E-19
3669.	0.4547E-19
3736.	0.4573E-19
3805.	0.4598E-19
3874.	0.4622E-19
3945.	0.4645E-19
4018.	0.4667E-19
4091.	0.4688E-19
4166.	0.4708E-19
4243.	0.4727E-19
4320.	0.4745E-19
4399.	0.4762E-19
4480.	0.4779E-19
4562.	0.4794E-19
4646.	0.4808E-19
4731.	0.4821E-19
4818.	0.4833E-19
4906.	0.4844E-19
4996.	0.4853E-19
5087.	0.4861E-19
5181.	0.4869E-19
5275.	0.4875E-19
5372.	0.4880E-19
5471.	0.4884E-19
5571.	0.4886E-19
5673.	0.4888E-19
5777.	0.4888E-19
5883.	0.4887E-19
5991.	0.4884E-19
6100.	0.4880E-19
6212.	0.4876E-19
6326.	0.4870E-19
6442.	0.4863E-19
6560.	0.4854E-19
6680.	0.4844E-19
6802.	0.4833E-19
6927.	0.4821E-19
7054.	0.4807E-19
7183.	0.4792E-19
7315.	0.4775E-19
7449.	0.4758E-19
7585.	0.4739E-19
7724.	0.4718E-19
7866.	0.4697E-19
8010.	0.4674E-19
8157.	0.4650E-19
8306.	0.4625E-19
8459.	0.4598E-19
8614.	0.4571E-19
8771.	0.4542E-19
8932.	0.4511E-19
9096.	0.4480E-19
9263.	0.4447E-19
9432.	0.4413E-19
9605.	0.4378E-19
9781.	0.4342E-19
9960.	0.4305E-19
0.1014E+05	0.4266E-19
0.1033E+05	0.4226E-19
0.1052E+05	0.4186E-19
0.1071E+05	0.4144E-19
0.1091E+05	0.4101E-19
0.1111E+05	0.4057E-19
0.1131E+05	0.4012E-19
0.1152E+05	0.3966E-19
0.1173E+05	0.3919E-19
0.1194E+05	0.3871E-19
0.1216E+05	0.3823E-19
0.1239E+05	0.3773E-19
0.1261E+05	0.3723E-19
0.1284E+05	0.3671E-19
0.1308E+05	0.3619E-19
0.1332E+05	0.3566E-19
0.1356E+05	0.3513E-19
0.1381E+05	0.3459E-19
0.1406E+05	0.3404E-19
0.1432E+05	0.3348E-19
0.1458E+05	0.3292E-19
0.1485E+05	0.3236E-19
0.1512E+05	0.3179E-19
0.1540E+05	0.3121E-19
0.1568E+05	0.3064E-19
0.1597E+05	0.3006E-19
0.1626E+05	0.2947E-19
0.1656E+05	0.2889E-19
0.1686E+05	0.2830E-19
0.1717E+05	0.2772E-19
0.1749E+05	0.2713E-19
0.1781E+05	0.2655E-19
0.1814E+05	0.2596E-19
0.1847E+05	0.2538E-19
0.1881E+05	0.2480E-19
0.1915E+05	0.2423E-19
0.1950E+05	0.2366E-19
0.1986E+05	0.2309E-19
0.2022E+05	0.2253E-19
0.2059E+05	0.2198E-19
0.2097E+05	0.2143E-19
0.2135E+05	0.2089E-19
0.2175E+05	0.2036E-19
0.2214E+05	0.1984E-19
0.2255E+05	0.1933E-19
0.2296E+05	0.1883E-19
0.2338E+05	0.1835E-19
0.2381E+05	0.1787E-19
0.2425E+05	0.1741E-19
0.2469E+05	0.1696E-19
0.2515E+05	0.1652E-19
0.2561E+05	0.1610E-19
0.2608E+05	0.1570E-19
0.2655E+05	0.1531E-19
0.2704E+05	0.1493E-19
0.2754E+05	0.1457E-19
0.2804E+05	0.1423E-19
0.2855E+05	0.1390E-19
0.2908E+05	0.1359E-19
0.2961E+05	0.1329E-19
0.3015E+05	0.1302E-19
0.3071E+05	0.1275E-19
0.3127E+05	0.1251E-19
0.3184E+05	0.1228E-19
0.3242E+05	0.1207E-19
0.3302E+05	0.1187E-19
0.3362E+05	0.1169E-19
0.3424E+05	0.1153E-19
0.3487E+05	0.1138E-19
0.3551E+05	0.1124E-19
0.3616E+05	0.1112E-19
0.3682E+05	0.1101E-19
0.3749E+05	0.1092E-19
0.3818E+05	0.1084E-19
0.3888E+05	0.1077E-19
0.3959E+05	0.1072E-19
0.4032E+05	0.1067E-19
0.4106E+05	0.1064E-19
0.4181E+05	0.1061E-19
0.4258E+05	0.1060E-19
0.4336E+05	0.1060E-19
0.4415E+05	0.1061E-19
0.4496E+05	0.1062E-19
0.4578E+05	0.1065E-19
0.4662E+05	0.1068E-19
0.4748E+05	0.1072E-19
0.4835E+05	0.1077E-19
0.4923E+05	0.1082E-19
0.5014E+05	0.1089E-19
0.5105E+05	0.1096E-19
0.5199E+05	0.1103E-19
0.5294E+05	0.1112E-19
0.5391E+05	0.1121E-19
0.5490E+05	0.1130E-19
0.5591E+05	0.1140E-19
0.5693E+05	0.1151E-19
0.5797E+05	0.1163E-19
0.5904E+05	0.1175E-19
0.6012E+05	0.1187E-19
0.6122E+05	0.1200E-19
0.6234E+05	0.1214E-19
0.6348E+05	0.1228E-19
0.6465E+05	0.1243E-19
0.6583E+05	0.1258E-19
0.6704E+05	0.1274E-19
0.6827E+05	0.1290E-19
0.6952E+05	0.1307E-19
0.7079E+05	0.1324E-19
0.7209E+05	0.1342E-19
0.7341E+05	0.1360E-19
0.7475E+05	0.1379E-19
0.7612E+05	0.1399E-19
0.7752E+05	0.1419E-19
0.7894E+05	0.1439E-19
0.8039E+05	0.1460E-19
0.8186E+05	0.1482E-19
0.8336E+05	0.1504E-19
0.8489E+05	0.1527E-19
0.8644E+05	0.1550E-19
0.8803E+05	0.1574E-19
0.8964E+05	0.1598E-19
0.9128E+05	0.1623E-19
0.9295E+05	0.1648E-19
0.9466E+05	0.1674E-19
0.9639E+05	0.1701E-19
0.9816E+05	0.1728E-19
0.9996E+05	0.1756E-19
0.1018E+06	0.1784E-19
0.1037E+06	0.1813E-19
0.1056E+06	0.1843E-19
0.1075E+06	0.1873E-19
0.1095E+06	0.1904E-19
0.1115E+06	0.1936E-19
0.1135E+06	0.1968E-19
0.1156E+06	0.2001E-19
0.1177E+06	0.2034E-19
0.1199E+06	0.2069E-19
0.1221E+06	0.2103E-19
0.1243E+06	0.2139E-19
0.1266E+06	0.2175E-19
0.1289E+06	0.2213E-19
0.1313E+06	0.2250E-19
0.1337E+06	0.2289E-19
0.1361E+06	0.2328E-19
0.1386E+06	0.2368E-19
0.1411E+06	0.2409E-19
0.1437E+06	0.2451E-19
0.1464E+06	0.2493E-19
0.1490E+06	0.2537E-19
0.1518E+06	0.2581E-19
0.1546E+06	0.2626E-19
0.1574E+06	0.2672E-19
0.1603E+06	0.2719E-19
0.1632E+06	0.2766E-19
0.1662E+06	0.2815E-19
0.1692E+06	0.2865E-19
0.1723E+06	0.2915E-19
0.1755E+06	0.2967E-19
0.1787E+06	0.3019E-19
0.1820E+06	0.3073E-19
0.1853E+06	0.3127E-19
0.1887E+06	0.3182E-19
0.1922E+06	0.3239E-19
0.1957E+06	0.3297E-19
0.1993E+06	0.3355E-19
0.2029E+06	0.3415E-19
