 
 
E/N (Td)	Townsend attach. coef. eta/N (m2)
1.000	0.8024E-40
1.018	0.7870E-40
1.037	0.7718E-40
1.056	0.7569E-40
1.075	0.7423E-40
1.095	0.7279E-40
1.115	0.7138E-40
1.136	0.6999E-40
1.156	0.6863E-40
1.178	0.6729E-40
1.199	0.6598E-40
1.221	0.6469E-40
1.243	0.6342E-40
1.266	0.6217E-40
1.289	0.6095E-40
1.313	0.5974E-40
1.337	0.5856E-40
1.362	0.5740E-40
1.387	0.5626E-40
1.412	0.5514E-40
1.438	0.5404E-40
1.464	0.5296E-40
1.491	0.5190E-40
1.518	0.5086E-40
1.546	0.4983E-40
1.575	0.4883E-40
1.603	0.4784E-40
1.633	0.4686E-40
1.663	0.4590E-40
1.693	0.4497E-40
1.724	0.4405E-40
1.756	0.4314E-40
1.788	0.4225E-40
1.821	0.4138E-40
1.854	0.4053E-40
1.888	0.3969E-40
1.923	0.3886E-40
1.958	0.3805E-40
1.994	0.3726E-40
2.030	0.3647E-40
2.068	0.3571E-40
2.105	0.3495E-40
2.144	0.3421E-40
2.183	0.3349E-40
2.223	0.3277E-40
2.264	0.3208E-40
2.305	0.3139E-40
2.348	0.3072E-40
2.391	0.3005E-40
2.435	0.2941E-40
2.479	0.2877E-40
2.525	0.2814E-40
2.571	0.2753E-40
2.618	0.2693E-40
2.666	0.2634E-40
2.715	0.2577E-40
2.765	0.2520E-40
2.815	0.2465E-40
2.867	0.2410E-40
2.919	0.2357E-40
2.973	0.2305E-40
3.027	0.2253E-40
3.083	0.2203E-40
3.139	0.2154E-40
3.197	0.2106E-40
3.255	0.2059E-40
3.315	0.2013E-40
3.376	0.1968E-40
3.438	0.1924E-40
3.501	0.1881E-40
3.565	0.1839E-40
3.630	0.1798E-40
3.697	0.1757E-40
3.764	0.1718E-40
3.833	0.1679E-40
3.904	0.1642E-40
3.975	0.1605E-40
4.048	0.1569E-40
4.122	0.1534E-40
4.198	0.1500E-40
4.275	0.1466E-40
4.353	0.1433E-40
4.433	0.1402E-40
4.514	0.1370E-40
4.597	0.1340E-40
4.681	0.1310E-40
4.767	0.1281E-40
4.854	0.1253E-40
4.943	0.1226E-40
5.033	0.1199E-40
5.126	0.1172E-40
5.220	0.1147E-40
5.315	0.1122E-40
5.413	0.1098E-40
5.512	0.1074E-40
5.613	0.1051E-40
5.716	0.1028E-40
5.820	0.1006E-40
5.927	0.9847E-41
6.036	0.9638E-41
6.146	0.9434E-41
6.259	0.9235E-41
6.374	0.9041E-41
6.490	0.8852E-41
6.609	0.8668E-41
6.730	0.8488E-41
6.854	0.8313E-41
6.979	0.8142E-41
7.107	0.7976E-41
7.238	0.7813E-41
7.370	0.7654E-41
7.505	0.7500E-41
7.643	0.7349E-41
7.783	0.7202E-41
7.925	0.7058E-41
8.071	0.6918E-41
8.219	0.6781E-41
8.369	0.6649E-41
8.522	0.6519E-41
8.679	0.6391E-41
8.838	0.6267E-41
9.000	0.6146E-41
9.165	0.6028E-41
9.332	0.5912E-41
9.503	0.5799E-41
9.678	0.5689E-41
9.855	0.5581E-41
10.04	0.5476E-41
10.22	0.5373E-41
10.41	0.5272E-41
10.60	0.5174E-41
10.79	0.5078E-41
10.99	0.4984E-41
11.19	0.4891E-41
11.40	0.4801E-41
11.60	0.4713E-41
11.82	0.4627E-41
12.03	0.4543E-41
12.25	0.4460E-41
12.48	0.4382E-41
12.71	0.3587E-33
12.94	0.5152E-31
13.18	0.2229E-30
13.42	0.3368E-30
13.66	0.5516E-30
13.92	0.8203E-30
14.17	0.1212E-29
14.43	0.1779E-29
14.69	0.2590E-29
14.96	0.3723E-29
15.24	0.5318E-29
15.52	0.7551E-29
15.80	0.1066E-28
16.09	0.1495E-28
16.39	0.2209E-28
16.69	0.3052E-28
16.99	0.4194E-28
17.30	0.5731E-28
17.62	0.7787E-28
17.94	0.1053E-27
18.27	0.1415E-27
18.61	0.1892E-27
18.95	0.2517E-27
19.29	0.3450E-27
19.65	0.4535E-27
20.01	0.5930E-27
20.38	0.7718E-27
20.75	0.9998E-27
21.13	0.1289E-26
21.52	0.1654E-26
21.91	0.2113E-26
22.31	0.2687E-26
22.72	0.3402E-26
23.14	0.4289E-26
23.56	0.5542E-26
23.99	0.6917E-26
24.43	0.8598E-26
24.88	0.1064E-25
25.34	0.1313E-25
25.80	0.1612E-25
26.27	0.1973E-25
26.75	0.2405E-25
27.24	0.2920E-25
27.74	0.3533E-25
28.25	0.4259E-25
28.77	0.5116E-25
29.30	0.6123E-25
29.83	0.7473E-25
30.38	0.8875E-25
30.94	0.1051E-24
31.50	0.1239E-24
32.08	0.1458E-24
32.67	0.1709E-24
33.27	0.1997E-24
33.88	0.2328E-24
34.50	0.2704E-24
35.13	0.3132E-24
35.77	0.3618E-24
36.43	0.4167E-24
37.10	0.4785E-24
37.78	0.5557E-24
38.47	0.6343E-24
39.17	0.7221E-24
39.89	0.8200E-24
40.62	0.9287E-24
41.37	0.1049E-23
42.13	0.1182E-23
42.90	0.1329E-23
43.68	0.1490E-23
44.48	0.1667E-23
45.30	0.1860E-23
46.13	0.2071E-23
46.97	0.2295E-23
47.84	0.2542E-23
48.71	0.2811E-23
49.60	0.3101E-23
50.51	0.3413E-23
51.44	0.3748E-23
52.38	0.4108E-23
53.34	0.4492E-23
54.32	0.4902E-23
55.31	0.5338E-23
56.33	0.5801E-23
57.36	0.6291E-23
58.41	0.6917E-23
59.48	0.7467E-23
60.57	0.8044E-23
61.68	0.8650E-23
62.81	0.9282E-23
63.96	0.9942E-23
65.13	0.1063E-22
66.33	0.1134E-22
67.54	0.1208E-22
68.78	0.1284E-22
70.04	0.1362E-22
71.33	0.1442E-22
72.63	0.1514E-22
73.96	0.1598E-22
75.32	0.1684E-22
76.70	0.1771E-22
78.10	0.1859E-22
79.54	0.1948E-22
80.99	0.2038E-22
82.48	0.2129E-22
83.99	0.2220E-22
85.53	0.2311E-22
87.09	0.2402E-22
88.69	0.2499E-22
90.32	0.2589E-22
91.97	0.2678E-22
93.66	0.2765E-22
95.37	0.2852E-22
97.12	0.2936E-22
98.90	0.3019E-22
100.7	0.3101E-22
102.6	0.3179E-22
104.4	0.3256E-22
106.4	0.3330E-22
108.3	0.3402E-22
110.3	0.3480E-22
112.3	0.3546E-22
114.4	0.3608E-22
116.5	0.3668E-22
118.6	0.3724E-22
120.8	0.3777E-22
123.0	0.3827E-22
125.2	0.3873E-22
127.5	0.3916E-22
129.9	0.3956E-22
132.2	0.3992E-22
134.7	0.4024E-22
137.1	0.4054E-22
139.6	0.4081E-22
142.2	0.4105E-22
144.8	0.4125E-22
147.5	0.4142E-22
150.2	0.4157E-22
152.9	0.4168E-22
155.7	0.4176E-22
158.6	0.4182E-22
161.5	0.4185E-22
164.4	0.4182E-22
167.5	0.4180E-22
170.5	0.4176E-22
173.6	0.4169E-22
176.8	0.4160E-22
180.1	0.4148E-22
183.4	0.4135E-22
186.7	0.4120E-22
190.1	0.4102E-22
193.6	0.4083E-22
197.2	0.4067E-22
200.8	0.4044E-22
204.5	0.4019E-22
208.2	0.3993E-22
212.0	0.3966E-22
215.9	0.3938E-22
219.9	0.3908E-22
223.9	0.3877E-22
228.0	0.3845E-22
232.2	0.3812E-22
236.4	0.3775E-22
240.8	0.3741E-22
245.2	0.3706E-22
249.7	0.3670E-22
254.3	0.3633E-22
258.9	0.3596E-22
263.7	0.3558E-22
268.5	0.3520E-22
273.4	0.3481E-22
278.4	0.3443E-22
283.5	0.3404E-22
288.7	0.3364E-22
294.0	0.3324E-22
299.4	0.3284E-22
304.9	0.3243E-22
310.5	0.3202E-22
316.2	0.3162E-22
322.0	0.3121E-22
327.9	0.3080E-22
333.9	0.3040E-22
340.0	0.2999E-22
346.2	0.2958E-22
352.6	0.2918E-22
359.0	0.2877E-22
365.6	0.2837E-22
372.3	0.2797E-22
379.1	0.2757E-22
386.1	0.2717E-22
393.1	0.2677E-22
400.3	0.2638E-22
407.7	0.2599E-22
415.1	0.2560E-22
422.8	0.2522E-22
430.5	0.2484E-22
438.4	0.2446E-22
446.4	0.2409E-22
454.6	0.2373E-22
462.9	0.2336E-22
471.4	0.2299E-22
480.1	0.2263E-22
488.8	0.2228E-22
497.8	0.2192E-22
506.9	0.2157E-22
516.2	0.2123E-22
525.7	0.2089E-22
535.3	0.2056E-22
545.1	0.2022E-22
555.1	0.1989E-22
565.3	0.1957E-22
575.6	0.1925E-22
586.2	0.1893E-22
596.9	0.1862E-22
607.9	0.1831E-22
619.0	0.1801E-22
630.3	0.1771E-22
641.9	0.1742E-22
653.7	0.1713E-22
665.6	0.1684E-22
677.8	0.1656E-22
690.3	0.1629E-22
702.9	0.1601E-22
715.8	0.1575E-22
728.9	0.1548E-22
742.3	0.1522E-22
755.9	0.1497E-22
769.7	0.1472E-22
783.8	0.1447E-22
798.2	0.1423E-22
812.8	0.1399E-22
827.7	0.1375E-22
842.9	0.1352E-22
858.3	0.1330E-22
874.0	0.1308E-22
890.1	0.1286E-22
906.4	0.1264E-22
923.0	0.1243E-22
939.9	0.1223E-22
957.1	0.1203E-22
974.7	0.1183E-22
992.5	0.1164E-22
1011.	0.1145E-22
1029.	0.1126E-22
1048.	0.1108E-22
1067.	0.1090E-22
1087.	0.1072E-22
1107.	0.1055E-22
1127.	0.1038E-22
1148.	0.1022E-22
1169.	0.1005E-22
1190.	0.9895E-23
1212.	0.9740E-23
1234.	0.9592E-23
1257.	0.9443E-23
1280.	0.9298E-23
1303.	0.9155E-23
1327.	0.9016E-23
1351.	0.8880E-23
1376.	0.8744E-23
1401.	0.8614E-23
1427.	0.8486E-23
1453.	0.8362E-23
1480.	0.8240E-23
1507.	0.8122E-23
1535.	0.8006E-23
1563.	0.7892E-23
1591.	0.7781E-23
1621.	0.7672E-23
1650.	0.7566E-23
1680.	0.7463E-23
1711.	0.7362E-23
1743.	0.7263E-23
1775.	0.7166E-23
1807.	0.7072E-23
1840.	0.6980E-23
1874.	0.6890E-23
1908.	0.6803E-23
1943.	0.6717E-23
1979.	0.6633E-23
2015.	0.6552E-23
2052.	0.6474E-23
2090.	0.6396E-23
2128.	0.6320E-23
2167.	0.6246E-23
2207.	0.6174E-23
2247.	0.6106E-23
2288.	0.6037E-23
2330.	0.5970E-23
2373.	0.5904E-23
2416.	0.5840E-23
2461.	0.5778E-23
2506.	0.5718E-23
2552.	0.5658E-23
2598.	0.5600E-23
2646.	0.5544E-23
2694.	0.5488E-23
2744.	0.5434E-23
2794.	0.5382E-23
2845.	0.5331E-23
2897.	0.5281E-23
2951.	0.5233E-23
3005.	0.5186E-23
3060.	0.5140E-23
3116.	0.5095E-23
3173.	0.5052E-23
3231.	0.5009E-23
3290.	0.4967E-23
3350.	0.4926E-23
3412.	0.4886E-23
3474.	0.4845E-23
3538.	0.4807E-23
3603.	0.4770E-23
3669.	0.4734E-23
3736.	0.4699E-23
3805.	0.4666E-23
3874.	0.4633E-23
3945.	0.4600E-23
4018.	0.4567E-23
4091.	0.4536E-23
4166.	0.4505E-23
4243.	0.4475E-23
4320.	0.4446E-23
4399.	0.4417E-23
4480.	0.4391E-23
4562.	0.4363E-23
4646.	0.4336E-23
4731.	0.4310E-23
4818.	0.4285E-23
4906.	0.4259E-23
4996.	0.4234E-23
5087.	0.4210E-23
5181.	0.4186E-23
5275.	0.4164E-23
5372.	0.4141E-23
5471.	0.4119E-23
5571.	0.4097E-23
5673.	0.4075E-23
5777.	0.4054E-23
5883.	0.4033E-23
5991.	0.4012E-23
6100.	0.3992E-23
6212.	0.3973E-23
6326.	0.3953E-23
6442.	0.3934E-23
6560.	0.3915E-23
6680.	0.3897E-23
6802.	0.3878E-23
6927.	0.3860E-23
7054.	0.3842E-23
7183.	0.3824E-23
7315.	0.3806E-23
7449.	0.3788E-23
7585.	0.3771E-23
7724.	0.3754E-23
7866.	0.3737E-23
8010.	0.3720E-23
8157.	0.3703E-23
8306.	0.3686E-23
8459.	0.3670E-23
8614.	0.3653E-23
8771.	0.3637E-23
8932.	0.3620E-23
9096.	0.3604E-23
9263.	0.3588E-23
9432.	0.3571E-23
9605.	0.3555E-23
9781.	0.3539E-23
9960.	0.3522E-23
0.1014E+05	0.3506E-23
0.1033E+05	0.3489E-23
