# ==================================================================================================================================================================================
# Minimum inception voltage(+)  = 26363.7,	 x = (-0.0174872,0.00987)
# Minimum inception voltage(-)  = 26333.5,	 x = (-0.0175549,0.00984129)
# 
# Streamer inception voltage(+) = 31306.4,	 x = (0.0174872,0.00989136)
# Streamer inception voltage(-) = 31221,	 x = (0.0175647,0.0098645)
# 
# Townsend inception voltage(+) = 26363.7,	 x = (-0.0174872,0.00987)
# Townsend inception voltage(-) = 26333.5,	 x = (-0.0175549,0.00984129)
# ==================================================================================================================================================================================
# +/- Voltage  Max K(+)       Max K(-)       Max T(+)            Max T(-)            Crit. vol(+)        Crit. vol(-)        Crit. area(+)       Crit. area(-)       Ionization vol.     
# ==================================================================================================================================================================================
10000          0.300174       0.300549       0.000350093         0.0003506           0                   0                   0                   0                   6.55629e-08         
11000          0.466468       0.467039       0.000594353         0.000595264         0                   0                   0                   0                   8.69452e-08         
12000          0.669416       0.670644       0.000953096         0.000955497         0                   0                   0                   0                   1.09595e-07         
13000          0.907775       0.909417       0.0014788           0.00148288          0                   0                   0                   0                   1.33711e-07         
14000          1.18093        1.18252        0.00225741          0.00226258          0                   0                   0                   0                   1.59263e-07         
15000          1.48804        1.49034        0.00342839          0.00343862          0                   0                   0                   0                   1.85265e-07         
16000          1.82799        1.83172        0.00522136          0.00524462          0                   0                   0                   0                   2.13761e-07         
17000          2.19825        2.20309        0.00800921          0.00805296          0                   0                   0                   0                   2.43662e-07         
18000          2.59674        2.60241        0.01242             0.0124962           0                   0                   0                   0                   2.74143e-07         
19000          3.02273        3.03074        0.0195472           0.0197125           0                   0                   0                   0                   3.07656e-07         
20000          3.4748         3.48473        0.0312913           0.0316135           0                   0                   0                   0                   3.44042e-07         
21000          3.95078        3.96178        0.0509761           0.051551            0                   0                   0                   0                   3.83241e-07         
22000          4.45021        4.45916        0.0846451           0.0854151           0                   0                   0                   0                   4.29178e-07         
23000          4.97049        4.98236        0.143097            0.144818            0                   0                   0                   0                   4.81982e-07         
24000          5.5112         5.52869        0.246448            0.250814            0                   0                   0                   0                   5.3852e-07          
25000          6.07141        6.09214        0.432292            0.441366            0                   0                   0                   0                   5.99174e-07         
26000          6.64989        6.67046        0.771699            0.787758            0                   0                   0                   0                   6.72015e-07         
27000          7.24573        7.26406        1.4011              1.42705             8.45396e-10         4.06703e-10         0.000246582         0.000192666         7.44748e-07         
28000          7.85833        7.89035        2.58619             2.67038             3.75885e-09         1.75891e-09         0.000424805         0.000326271         8.32361e-07         
29000          8.48725        8.52989        4.8515              5.0629              7.9795e-09          3.64846e-09         0.000556641         0.000415437         9.22496e-07         
30000          9.13296        9.1827         9.25434             9.72634             1.40031e-08         5.96327e-09         0.000690918         0.00050387          1.0313e-06          
31000          9.79371        9.84991        17.9196             18.9556             2.1708e-08          8.75815e-09         0.00081543          0.000584828         1.14596e-06         
32000          10.4689        10.5291        35.2028             37.3875             3.15555e-08         1.18719e-08         0.000942383         0.000664781         1.2834e-06          
33000          11.1601        11.2202        70.271              74.62               4.31608e-08         1.55782e-08         0.00108398          0.000744544         1.42295e-06         
34000          11.8656        11.9279        142.291             151.438             5.7058e-08          1.96039e-08         0.0012207           0.000827311         1.57669e-06         
35000          12.5854        12.644         292.246             309.891             7.33133e-08         2.40602e-08         0.00134277          0.000903148         1.7515e-06          
36000          13.3203        13.3856        609.416             650.587             9.05013e-08         2.90066e-08         0.00146484          0.000981971         1.95966e-06         
37000          14.0688        14.1354        1288.31             1377                1.1074e-07          3.43403e-08         0.00162598          0.00106276          2.18089e-06         
38000          14.8318        14.8979        2762.81             2951.83             1.3139e-07          4.02555e-08         0.00175293          0.0011337           2.43727e-06         
39000          15.6093        15.6726        6012.11             6404.99             1.53204e-07         4.68254e-08         0.00187988          0.0012216           2.71912e-06         
40000          16.401         16.4651        13269.9             14148.4             1.7897e-07          5.40164e-08         0.0020459           0.00129972          3.02004e-06         
# ==================================================================================================================================================================================
